caller	freq	value
EAST	1	8
EAST	2	10
EAST	2	10
EAST	1	6
EAST	1	21
EAST	1	9
EAST	1	12
EAST	1	23
EAST	1	22
EAST	1	26
EAST	1	6
EAST	1	19
EAST	1	5
EAST	2	11
EAST	2	11
EAST	1	5
EAST	2	10
EAST	2	10
EAST	2	21
EAST	2	21
EAST	1	19
EAST	2	10
EAST	2	10
EAST	1	13
EAST	1	6
EAST	1	7
EAST	1	3
EAST	1	6
EAST	1	2
EAST	2	9
EAST	2	9
EAST	2	5
EAST	2	5
EAST	2	5
EAST	2	5
EAST	3	6
EAST	3	6
EAST	3	6
EAST	1	7
EAST	2	10
EAST	2	10
EAST	1	8
EAST	1	8
EAST	2	21
EAST	2	21
EAST	2	4
EAST	2	4
EAST	1	27
EAST	2	18
EAST	2	18
EAST	4	18
EAST	4	18
EAST	4	18
EAST	4	18
EAST	1	6
EAST	1	15
EAST	1	4
EAST	1	8
EAST	2	9
EAST	2	9
EAST	1	21
EAST	1	3
EAST	1	6
EAST	3	5
EAST	3	5
EAST	3	5
EAST	2	28
EAST	2	28
EAST	1	15
EAST	1	12
EAST	1	22
EAST	1	12
EAST	1	10
EAST	2	6
EAST	2	6
EAST	1	5
EAST	1	5
EAST	1	23
EAST	1	10
EAST	1	10
EAST	4	5
EAST	4	5
EAST	4	5
EAST	4	5
EAST	1	4
EAST	1	7
EAST	1	14
EAST	3	12
EAST	3	12
EAST	3	12
EAST	1	14
EAST	1	32
EAST	1	22
EAST	2	5
EAST	2	5
EAST	1	17
EAST	4	22
EAST	4	22
EAST	4	22
EAST	4	22
EAST	1	15
EAST	1	8
EAST	3	11
EAST	3	11
EAST	3	11
EAST	1	16
EAST	1	3
EAST	1	8
EAST	1	14
EAST	1	11
EAST	1	9
EAST	1	21
EAST	3	16
EAST	3	16
EAST	3	16
EAST	1	9
EAST	2	7
EAST	2	7
EAST	2	8
EAST	2	8
EAST	1	60
EAST	1	8
EAST	1	6
EAST	1	8
EAST	1	19
EAST	1	7
EAST	1	25
EAST	2	4
EAST	2	4
EAST	1	8
EAST	3	6
EAST	3	6
EAST	3	6
EAST	1	4
EAST	1	4
EAST	1	17
EAST	1	2
EAST	1	28
EAST	1	6
EAST	1	6
EAST	1	32
EAST	2	5
EAST	2	5
EAST	1	6
EAST	1	6
EAST	1	15
EAST	2	27
EAST	2	27
EAST	1	8
EAST	1	5
EAST	1	21
EAST	1	8
EAST	1	4
EAST	1	9
EAST	1	10
EAST	1	15
EAST	1	17
EAST	1	11
EAST	1	14
EAST	1	6
EAST	1	5
EAST	1	8
EAST	1	7
EAST	1	8
EAST	1	6
EAST	1	7
EAST	1	6
EAST	1	24
EAST	1	10
EAST	1	6
EAST	3	4
EAST	3	4
EAST	3	4
EAST	1	27
EAST	1	2
EAST	1	13
EAST	4	10
EAST	4	10
EAST	4	10
EAST	4	10
EAST	1	5
EAST	1	28
EAST	1	9
EAST	2	14
EAST	2	14
EAST	2	6
EAST	2	6
EAST	1	5
EAST	2	26
EAST	2	26
EAST	1	2
EAST	1	6
EAST	1	23
EAST	1	5
EAST	2	8
EAST	2	8
EAST	1	5
EAST	1	23
EAST	1	5
EAST	2	8
EAST	2	8
EAST	1	9
EAST	1	5
EAST	2	9
EAST	2	9
EAST	4	7
EAST	4	7
EAST	4	7
EAST	4	7
EAST	1	7
EAST	1	10
EAST	1	8
EAST	1	12
EAST	1	7
EAST	1	11
EAST	3	10
EAST	3	10
EAST	3	10
EAST	2	23
EAST	2	23
EAST	1	11
EAST	1	9
EAST	1	6
EAST	1	21
EAST	1	19
EAST	1	9
EAST	2	12
EAST	2	12
EAST	1	13
EAST	2	6
EAST	2	6
EAST	2	17
EAST	2	17
EAST	1	8
EAST	4	13
EAST	4	13
EAST	4	13
EAST	4	13
EAST	1	12
EAST	1	54
